prefix,ip_version,sbl_id,source,source_url,last_seen,asn,organization,country
45.80.37.0/24,4,SBL690077,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,210848,Telkom Internet LTD,SC
45.80.158.0/24,4,SBL696368,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,210558,1337 Services GmbH,DE
45.80.248.0/23,4,SBL494022,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,6282,Fiber Optical Network LLC,US
45.83.28.0/24,4,SBL696369,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,210558,1337 Services GmbH,DE
45.83.31.0/24,4,SBL697646,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,210558,1337 Services GmbH,DE
45.87.249.0/24,4,SBL697973,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,210006,Shereverov Marat Ahmedovich,KZ
45.88.186.0/24,4,SBL682998,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,210558,1337 Services GmbH,DE
45.91.227.0/24,4,SBL508101,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,137427,KIDC LIMITED,HK
45.92.1.0/24,4,SBL696370,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,210558,1337 Services GmbH,DE
45.93.20.0/24,4,SBL690072,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
45.94.31.0/24,4,SBL696372,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,210558,1337 Services GmbH,DE
45.95.82.0/24,4,SBL692989,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,204391,NBI SIA,LV
45.114.184.0/22,4,SBL265063,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,4686,BEKKOAME INTERNET INC.,JP
45.114.200.0/22,4,SBL679559,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
